domain,port,group,supported,cipher,tls_version,PQC used,reason
test.openquantumsafe.org,443,X25519MLKEM768,YES,TLS_AES_256_GCM_SHA384,,X25519MLKEM768,
test.openquantumsafe.org,443,SecP256r1MLKEM768,YES,TLS_AES_256_GCM_SHA384,,SecP256r1MLKEM768,
test.openquantumsafe.org,443,SecP384r1MLKEM1024,YES,TLS_AES_256_GCM_SHA384,,SecP384r1MLKEM1024,
test.openquantumsafe.org,443,MLKEM768,YES,TLS_AES_256_GCM_SHA384,,MLKEM768,
test.openquantumsafe.org,443,MLKEM512,YES,TLS_AES_256_GCM_SHA384,,MLKEM512,
test.openquantumsafe.org,443,MLKEM1024,YES,TLS_AES_256_GCM_SHA384,,MLKEM1024,
ubs.com,443,X25519MLKEM768,NO,,,,handshake_failure
ubs.com,443,SecP256r1MLKEM768,NO,,,,handshake_failure
ubs.com,443,SecP384r1MLKEM1024,NO,,,,handshake_failure
ubs.com,443,MLKEM768,NO,,,,handshake_failure
ubs.com,443,MLKEM512,NO,,,,handshake_failure
ubs.com,443,MLKEM1024,NO,,,,handshake_failure
jpmorganchase.com,443,X25519MLKEM768,NO,,,,handshake_failure
jpmorganchase.com,443,SecP256r1MLKEM768,NO,,,,handshake_failure
jpmorganchase.com,443,SecP384r1MLKEM1024,NO,,,,handshake_failure
jpmorganchase.com,443,MLKEM768,NO,,,,handshake_failure
jpmorganchase.com,443,MLKEM512,NO,,,,handshake_failure
jpmorganchase.com,443,MLKEM1024,NO,,,,handshake_failure
bankofamerica.com,443,X25519MLKEM768,YES,TLS_AES_128_GCM_SHA256,,X25519MLKEM768,
bankofamerica.com,443,SecP256r1MLKEM768,YES,TLS_AES_128_GCM_SHA256,,SecP256r1MLKEM768,
bankofamerica.com,443,SecP384r1MLKEM1024,NO,,,,unsupported_or_unknown
bankofamerica.com,443,MLKEM768,NO,,,,unsupported_or_unknown
bankofamerica.com,443,MLKEM512,NO,,,,unsupported_or_unknown
bankofamerica.com,443,MLKEM1024,NO,,,,unsupported_or_unknown
citigroup.com,443,X25519MLKEM768,NO,,,,protocol_mismatch
citigroup.com,443,SecP256r1MLKEM768,NO,,,,protocol_mismatch
citigroup.com,443,SecP384r1MLKEM1024,NO,,,,protocol_mismatch
citigroup.com,443,MLKEM768,NO,,,,protocol_mismatch
citigroup.com,443,MLKEM512,NO,,,,protocol_mismatch
citigroup.com,443,MLKEM1024,NO,,,,protocol_mismatch
goldmansachs.com,443,X25519MLKEM768,NO,,,,handshake_failure
goldmansachs.com,443,SecP256r1MLKEM768,NO,,,,handshake_failure
goldmansachs.com,443,SecP384r1MLKEM1024,NO,,,,handshake_failure
goldmansachs.com,443,MLKEM768,NO,,,,handshake_failure
goldmansachs.com,443,MLKEM512,NO,,,,handshake_failure
goldmansachs.com,443,MLKEM1024,NO,,,,handshake_failure
morganstanley.com,443,X25519MLKEM768,NO,,,,protocol_mismatch
morganstanley.com,443,SecP256r1MLKEM768,NO,,,,protocol_mismatch
morganstanley.com,443,SecP384r1MLKEM1024,NO,,,,protocol_mismatch
morganstanley.com,443,MLKEM768,NO,,,,protocol_mismatch
morganstanley.com,443,MLKEM512,NO,,,,protocol_mismatch
morganstanley.com,443,MLKEM1024,NO,,,,protocol_mismatch
hsbc.com,443,X25519MLKEM768,NO,,,,handshake_failure
hsbc.com,443,SecP256r1MLKEM768,NO,,,,handshake_failure
hsbc.com,443,SecP384r1MLKEM1024,NO,,,,handshake_failure
hsbc.com,443,MLKEM768,NO,,,,handshake_failure
hsbc.com,443,MLKEM512,NO,,,,handshake_failure
hsbc.com,443,MLKEM1024,NO,,,,handshake_failure
barclays.com,443,X25519MLKEM768,NO,,,,handshake_failure
barclays.com,443,SecP256r1MLKEM768,NO,,,,handshake_failure
barclays.com,443,SecP384r1MLKEM1024,NO,,,,handshake_failure
barclays.com,443,MLKEM768,NO,,,,handshake_failure
barclays.com,443,MLKEM512,NO,,,,handshake_failure
barclays.com,443,MLKEM1024,NO,,,,handshake_failure
bnpparibas.com,443,X25519MLKEM768,NO,,,,handshake_failure
bnpparibas.com,443,SecP256r1MLKEM768,NO,,,,handshake_failure
bnpparibas.com,443,SecP384r1MLKEM1024,NO,,,,handshake_failure
bnpparibas.com,443,MLKEM768,NO,,,,handshake_failure
bnpparibas.com,443,MLKEM512,NO,,,,handshake_failure
bnpparibas.com,443,MLKEM1024,NO,,,,handshake_failure
credit-agricole.com,443,X25519MLKEM768,NO,,,,handshake_failure
